StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,registeredyet,timepleasecontinue_First Click,timepleasecontinue_Last Click,timepleasecontinue_Page Submit,timepleasecontinue_Click Count,timenbrcontact_First Click,timenbrcontact_Last Click,timenbrcontact_Page Submit,timenbrcontact_Click Count,nbr_regularcontact,timenbrname_First Click,timenbrname_Last Click,timenbrname_Page Submit,timenbrname_Click Count,nbr_name,timenbrhaveemail_First Click,timenbrhaveemail_Last Click,timenbrhaveemail_Page Submit,timenbrhaveemail_Click Count,nbr_know_email,timenbrwouldemail_First Click,timenbrwouldemail_Last Click,timenbrwouldemail_Page Submit,timenbrwouldemail_Click Count,nbr_willing_email_hp,timehappiness_First Click,timehappiness_Last Click,timehappiness_Page Submit,timehappiness_Click Count,happiness_1,time_ns1_donint_First Click,time_ns1_donint_Last Click,time_ns1_donint_Page Submit,time_ns1_donint_Click Count,ns1_don_int_hb,time_ns1_dondom_First Click,time_ns1_dondom_Last Click,time_ns1_dondom_Page Submit,time_ns1_dondom_Click Count,ns1_dondom_hb,time_nsa_donint_First Click,time_nsa_donint_Last Click,time_nsa_donint_Page Submit,time_nsa_donint_Click Count,ns1_donint_ha,timing_ns1_dondom_First Click,timing_ns1_dondom_Last Click,timing_ns1_dondom_Page Submit,timing_ns1_dondom_Click Count,ns1_dondom_ha,timeplacebo_BHF_First Click,timeplacebo_BHF_Last Click,timeplacebo_BHF_Page Submit,timeplacebo_BHF_Click Count,regyet,nsbeforewinask,nsb4whichchar,winscreen,nsbeforeask,nsb4whichchar,losescreen,winscreenafter,nsafterdon,nsafterwhichchar,noasklose,Q44,RecruitmentID,sex,childpresentmdl,clustergroup,ordergroup,recruitmentid,title,rand_num,rankingroup,groupn,reminderperson,firstasktreat,OxfamDonation,BHFDonation,TotalDonation,Gift,BHFExtra,OxfamExtra,TotalExtra
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,Have you registered as a participant at the ESSEXLab yet?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you regularly in contact with any of your next-door neighbours?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you know the first name of any of your next door neighbours?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Have you exchanged emails or contact information with any of your next-door neighbours?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Would you be willing to exchange emails with your next-door neighbour?      (Please note this question is hypothetical; we will not share your email with anyone as a result of your answer to this question.),Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you rate your happiness at the moment?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Before we continue…    We are giving you the opportunity to donate from your reward to Oxfam. For every pound you donate, we will add an extra 25p.  Please click on the image below for further information about this charity (link will open in a new tab).               From your £10 Amazon gift certificate are you willing to donate to Oxfam?    If you donate, your donation will be automatically deducted from your reward and passed on to this charity, plus an additional 25% from our own funds.     Rewards will be sent and donations will be made within 7 days and receipts will be kept at the ESSExLab office. We will not pass your personal information on to the charity.      Please enter the amount you would like to donate, if anything, in the box below. (Enter a whole number between 0 and 10; you do not need to enter the £ sign.)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Before we continue…    We are giving you the opportunity to donate from your reward to the British Heart Foundation. For every pound you donate, we will add an extra 25p.  Please click on the image below for further information about this charity (link will open in a new tab).       ​     From your £10 Amazon gift certificate are you willing to donate to the British Heart Foundation?    If you donate, your donation will be automatically deducted from your reward and passed on to this charity, plus an additional 25% from our own funds.     Prizes will be sent and donations will be made within 7 days and receipts will be kept at the ESSExLab office. We will not pass your personal information on to the charity.         Please enter the amount you would like to donate, if anything, in the box below. (Enter a whole number between 0 and 10; you do not need to enter the £ sign.)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,[QID21-QuestionText],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,[QID26-QuestionText],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Have you registered as a participant at the ESSEXLab yet?,"Before we reveal if you have won the £10 Amazon voucher...  We are giving you the opportunity to donate from your prize      to one of two charities:  either Oxfam or the British Heart Foundation.     For every pound you donate, we will add an extra 25p.  Please click on the images below for further information about these charities (links will open in a new tab).             IF you win the £10 Amazon voucher, WOULD you be willing to donate to one of the above charities?     This will not affect your chance of winning, as the prize winners have already been chosen through a random draw.     If you win, your donation will be automatically deducted from your prize and passed on to the charity of your choice, plus an additional 25% from our own funds. Donations will be made within 7 days and receipts will be kept at the ESSExLab office. We will not pass your personal information on to the charity.     Please enter the amount you would like to donate (if anything) if you win the prize, in the box below. (Enter a whole number between 0 and 10; you do not need to enter the £ sign.)","Please select the charity you would like to donate to, if you win","Congratulations you have WON a £10 Amazon gift certificate!      You must continue to the end to be certain your response is recorded,   and to be certain that you can claim your prize.    Rewards will be emailed to you, minus any amount you chose to donate. Donations will be matched with an additional 25% from our own funds, will  made  within 7 days and receipts will be kept at the ESSExLab office.","Before we reveal if you have won the £10 Amazon voucher...  We are giving you the opportunity to donate from your prize to one of two charities:  either Oxfam or the British Heart Foundation.  For every pound you donate, we will add an extra 25p.  Please click on the images below for further information about these charities (links will open in a new tab).             IF you win the £10 Amazon voucher, WOULD you be willing to donate to one of the above charities?     This will not affect your chance of winning, as the prize winners have already been chosen through a random draw.        If you win, your donation will be automatically deducted from your prize and passed on to the charity of your choice, plus an additional 25% from our own funds. Donations will be made within 7 days and receipts will be kept at the ESSExLab office. We will not pass your personal information on to the charity.     Please enter the amount you would like to donate (if anything) if you win the prize, in the box below. (Enter a whole number between 0 and 10; you do not need to enter the £ sign.)","Please select the charity you would like to donate to, if you win","Sorry, you did not win the £10 Amazon voucher. Please continue to the end to make sure your response is registered.","Congratulations you have WON a £10 Amazon gift certificate!      You must continue to the end to be certain your response is recorded,   and to be certain that you can claim your prize.","Before we explain how to claim your prize...  We are giving you the opportunity to donate from your prize to one of two charities:  either Oxfam or the British Heart Foundation.  For every pound you donate, we will add an extra 25p.  Please click on the images below for further information about these charities (links will open in a new tab).               Now that you have won the £10 Amazon voucher WOULD you be willing to donate to one of the above charities?      If you donate, your donation will be automatically deducted from your prize and passed on to the charity of your choice, plus an additional 25% from our own funds. Donations will be made within 7 days and receipts will be kept at the ESSExLab office. We will not pass your personal information on to the charity.      Please enter the amount you would like to donate (if anything) if you win the prize, in the box below. (Enter a whole number between 0 and 10; you do not need to enter the £ sign.)",Please select the charity you would like to donate to,"Sorry,  you did not win the £10 Amazon voucher. Please continue to the end to  be sure your response is registered.","If you have any comments, please write them below. Otherwise, please continue.",RecruitmentID,sex,childpresentmdl,clustergroup,ordergroup,recruitmentid,title,rand_num,rankingroup,groupn,reminderperson,firstasktreat,OxfamDonation,BHFDonation,TotalDonation,Gift,BHFExtra,OxfamExtra,TotalExtra
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID62""}","{""ImportId"":""QID50_FIRST_CLICK""}","{""ImportId"":""QID50_LAST_CLICK""}","{""ImportId"":""QID50_PAGE_SUBMIT""}","{""ImportId"":""QID50_CLICK_COUNT""}","{""ImportId"":""QID53_FIRST_CLICK""}","{""ImportId"":""QID53_LAST_CLICK""}","{""ImportId"":""QID53_PAGE_SUBMIT""}","{""ImportId"":""QID53_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID54_FIRST_CLICK""}","{""ImportId"":""QID54_LAST_CLICK""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID54_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID55_FIRST_CLICK""}","{""ImportId"":""QID55_LAST_CLICK""}","{""ImportId"":""QID55_PAGE_SUBMIT""}","{""ImportId"":""QID55_CLICK_COUNT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID57_FIRST_CLICK""}","{""ImportId"":""QID57_LAST_CLICK""}","{""ImportId"":""QID57_PAGE_SUBMIT""}","{""ImportId"":""QID57_CLICK_COUNT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID58_FIRST_CLICK""}","{""ImportId"":""QID58_LAST_CLICK""}","{""ImportId"":""QID58_PAGE_SUBMIT""}","{""ImportId"":""QID58_CLICK_COUNT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID59_FIRST_CLICK""}","{""ImportId"":""QID59_LAST_CLICK""}","{""ImportId"":""QID59_PAGE_SUBMIT""}","{""ImportId"":""QID59_CLICK_COUNT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID60_FIRST_CLICK""}","{""ImportId"":""QID60_LAST_CLICK""}","{""ImportId"":""QID60_PAGE_SUBMIT""}","{""ImportId"":""QID60_CLICK_COUNT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID61_FIRST_CLICK""}","{""ImportId"":""QID61_LAST_CLICK""}","{""ImportId"":""QID61_PAGE_SUBMIT""}","{""ImportId"":""QID61_CLICK_COUNT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID51_FIRST_CLICK""}","{""ImportId"":""QID51_LAST_CLICK""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID51_CLICK_COUNT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID88""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""RecruitmentID""}","{""ImportId"":""sex""}","{""ImportId"":""childpresentmdl""}","{""ImportId"":""clustergroup""}","{""ImportId"":""ordergroup""}","{""ImportId"":""recruitmentid""}","{""ImportId"":""title""}","{""ImportId"":""rand_num""}","{""ImportId"":""rankingroup""}","{""ImportId"":""groupn""}","{""ImportId"":""reminderperson""}","{""ImportId"":""firstasktreat""}","{""ImportId"":""OxfamDonation""}","{""ImportId"":""BHFDonation""}","{""ImportId"":""TotalDonation""}","{""ImportId"":""Gift""}","{""ImportId"":""BHFExtra""}","{""ImportId"":""OxfamExtra""}","{""ImportId"":""TotalExtra""}"
2017-05-08 15:12:36,2017-05-08 15:14:31,IP Address,100,114,True,2017-05-08 15:14:31,R_3n3glhSrLzbcOy2,email,Yes,,,,,3.893,3.893,5.816,1,Yes,2.093,2.093,5.854,1,Yes,2.721,2.721,5.577,1,Yes,4.862,4.862,6.405,1,Yes,5.035,5.035,5.813,1,Slightly happy,9.423,10.263,64.479,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139693,F,N,1,0,,Mrs,.0204424,14,,,,0,,0,10,0,0,0
2017-05-08 15:14:04,2017-05-08 15:15:40,IP Address,100,95,True,2017-05-08 15:15:41,R_3HSIBzQGUxNaGz1,email,Yes,,,,,2.987,3,7.313,2,Yes,2.762,2.774,5.654,2,Yes,2.572,2.585,5.543,2,Yes,5.6,5.613,6.562,2,Yes,5.553,5.57,6.383,2,Moderately happy,,,,,,5.555,29.25,32.751,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,131911,F,N,1,0,,Mrs,.1479465,106,,,domestic_happyfirst,,10,10,0,2.5,0,2.5
2017-05-08 15:23:44,2017-05-08 15:25:19,IP Address,100,95,True,2017-05-08 15:25:20,R_QbkNLdbRjGZaeU9,email,Yes,,,,,3.74,3.74,6.283,1,Yes,3.127,3.127,6.095,1,Yes,3.603,3.603,6.679,1,No,9.303,9.303,10.762,1,No,8.794,8.794,10.22,1,Extremely happy,,,,,,,,,,,5.678,27.424,31.443,3,0,,,,,,,,,,,,,,,,,,,,,,125080,F,Y,2,0,,Ms,.0971087,69,,,international_happyafter,0,,0,10,0,0,0
2017-05-08 15:24:53,2017-05-08 15:25:49,IP Address,100,55,True,2017-05-08 15:25:50,R_eCIibbZDBfaIgkp,email,Yes,0,0,1.917,0,1.935,1.935,6.141,1,No,3.057,3.057,5.862,1,Yes,2.102,2.102,5.763,1,No,2.232,2.232,5.718,1,Yes,2.948,2.948,5.981,1,Moderately unhappy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146285,M,N,3,0,,Mr,.0228523,22,,,noask,,,0,10,0,0,0
2017-05-08 15:24:12,2017-05-08 15:25:53,IP Address,100,101,True,2017-05-08 15:25:54,R_24JhlKKCKwHbDKH,email,Yes,,,,,2.791,4.587,5.701,3,Yes,2.301,4.915,8.022,6,Yes,5.153,5.167,6.089,2,No,2.437,4.886,5.574,3,Yes,2.889,10.824,13.031,3,Moderately happy,5.064,22.409,30.018,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134970,M,Y,4,0,,Mr,.0805864,33,,,,1,,1,9,0,0.25,0.25
2017-05-08 15:29:53,2017-05-08 15:31:54,IP Address,100,121,True,2017-05-08 15:31:55,R_8omCUxzHKrR4zsJ,email,Yes,,,,,5.151,5.165,5.941,2,Yes,2.111,5.709,5.745,3,Yes,2.94,2.955,6.067,2,Yes,4.342,4.353,5.91,2,Yes,14.783,14.801,16.034,2,Moderately happy,,,,,,10.146,35.618,46.305,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,141304,F,Y,2,0,,Miss,.0159242,12,,,domestic_happyfirst,,0,0,10,0,0,0
2017-05-08 15:28:56,2017-05-08 15:51:07,IP Address,100,1330,True,2017-05-08 15:51:08,R_1FbTxJytUhEe3lV,email,Yes,,,,,3.095,3.095,6.864,1,Yes,2.125,2.125,5.756,1,Yes,4.425,7.83,8.838,2,Yes,9.043,9.043,11.525,1,Yes,3.799,3.799,6.207,1,Slightly happy,,,,,,,,,,,,,,,,4.937,4.937,35.357,1,1,,,,,,,,,,,,,,,,,141884,F,Y,2,0,,Mrs,.0249599,22,,,domestic_happyafter,,1,1,9,0.25,0,0.25
2017-05-08 16:03:38,2017-05-08 16:05:36,IP Address,100,117,True,2017-05-08 16:05:37,R_3Dw55tyiWVcTw1H,email,Yes,,,,,3.647,3.662,6.026,2,Yes,4.203,4.224,5.985,2,Yes,3.795,3.809,5.844,2,Yes,3.695,6.438,7.866,3,Yes,3.777,8.713,11.026,3,Slightly unhappy,,,,,,,,,,,6.035,17.853,22.05,6,0,,,,,,,,,,,,,,,,,,,,,,149284,F,Y,2,0,,Miss,.1864244,134,,,international_happyafter,0,,0,10,0,0,0
