code,Stage,CharityTreat,Charity,Donation,Happiness,Student,RiskAversion,GeneralTrust,sex,birth,race,relig,single,uni stdnt,studies,prev par,exp pref,momjob,dadjob,momeduc,dadeduc,siblings,siborder,child,numchild,risk,trust,BirthData,Religion,MaritalStatus,PreviousExperiment,OccupationMother,OccupationFather,EducationMother,EducationFather,Siblings,SiblingsOlder,Children,ChildrenNumber,BornUK,BornCountry,YearsInUK,LanguageEnglishFirst,LanguageEnglishFluent,LanguageMainChildhood,LanguageOther,LivedOutsideUK,PersonalityExtroverted,PersonalityCritical,PersonalityDependable,PersonalityAnxious,PersonalityOpen,PersonalityReserved,PersonalitySympathetic,PersonalityCareless,PersonalityCalm,Personalityconventional,StartDate,EndDate
981gf3,1,NA,BHF,0,NA,1,NA,NA,Female,23/10/1987,White,Christian,Single,Yes,PhD Biological Sciences,No,I'm open to both Online and In-Lab Experiments,Other,"Management, Professional, and related","Post-graduate Degree (MA, MSc etc.)",Doctorate (PhD),1,1,No,NA,7,Can't be too careful,23/10/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-06T22:32:33Z,2017-06-06T22:51:59Z
6m8s0x,1,NA,BHF,0,NA,1,NA,NA,Female,14/03/1998,Other,Christian,Single,Yes,Creative writing,Yes,I'm open to both Online and In-Lab Experiments,Unemployed,Other,"Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",2,2,No,NA,6,Depends,14/03/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-06T16:22:59Z,2017-06-06T22:53:11Z
943ses,1,NA,BHF,0,NA,1,NA,NA,Male,14/04/1986,White,Atheist,Single,Yes,Clinical Psychology,No,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related",Sales and Office,"Undergraduate Degree (BA, BSc etc.)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",1,1,No,NA,7,Depends,14/04/1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-06T22:44:55Z,2017-06-06T23:02:57Z
tf772e,1,NA,NA,NA,Slightly happy,1,NA,NA,Female,23/09/1996,White,Atheist,Single,Yes,Psychology,Yes,Online Only,Sales and Office,"Management, Professional, and related","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,4,Most people can be trusted,23/09/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-06T23:04:54Z,2017-06-06T23:14:45Z
phov1o,1,NA,Oxfam,0,Moderately unhappy,1,NA,NA,Female,07/04/1996,White,Christian,Single,Yes,Accounting and Finance,Yes,I'm open to both Online and In-Lab Experiments,Sales and Office,"Production, Transportation, and Material Moving","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,1,No,NA,2,Depends,07/04/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-06T23:10:01Z,2017-06-06T23:36:14Z
ax0tzy,1,NA,Oxfam,0,NA,1,NA,NA,Female,30/08/1998,Eastern Asian/Pacific Islander,Atheist,Single,Yes,Economics,Yes,I'm open to both Online and In-Lab Experiments,Unemployed,Service,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,4,Can't be too careful,30/08/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-06T23:35:38Z,2017-06-06T23:44:25Z
8z20nc,1,NA,NA,NA,Slightly unhappy,1,NA,NA,Female,26/01/1994,Black African,Christian,Single,Yes,LLB Law,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,Unemployed,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Undergraduate Degree (BA, BSc etc.)",6,5,No,NA,3,Depends,26/01/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-06T23:32:42Z,2017-06-06T23:54:47Z
xsvkyx,1,NA,NA,NA,Slightly unhappy,1,NA,NA,Male,02/02/1996,Indian,Christian,Single,Yes,Accounting and Finance,Yes,I'm open to both Online and In-Lab Experiments,Government,Other,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",1,1,No,NA,Risk Neutral,Depends,02/02/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-07T00:08:05Z,2017-06-07T00:22:25Z
arr9z8,1,NA,NA,NA,Extremely unhappy,1,NA,NA,Female,29/07/1996,White,Atheist,Single,Yes,Psychology,Yes,I'm open to both Online and In-Lab Experiments,Service,Other,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",NA,3,1,No,NA,Very willing to take risks,Depends,29/07/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-07T00:28:37Z,2017-06-07T00:41:25Z
gcy7ny,1,NA,NA,NA,Slightly happy,1,NA,NA,Female,01/03/1997,Indian,Hindu,Single,Yes,Criminology with Social Psychology,Yes,I'm open to both Online and In-Lab Experiments,Government,Other,"Undergraduate Degree (BA, BSc etc.)",Secondary Education (GCSE/O-Levels) or below,0,NA,No,NA,7,Depends,01/03/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-06T23:37:51Z,2017-06-07T00:51:40Z
